 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:   9.10.    Time:  14: 8:15
 Units: L = m    , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.045     0.430      -0.0   0.713E+01     1.000     3.968     1.000     1.000     1.000
    2      0.01     0.045     0.430      -0.0   0.713E+01     1.000     3.921     1.000     1.000     1.000
    3      0.01     0.045     0.430      -0.0   0.713E+01     1.000     3.874     1.000     1.000     1.000
    4      0.02     0.045     0.430      -0.0   0.713E+01     1.000     3.827     1.000     1.000     1.000
    5      0.02     0.045     0.430      -0.0   0.713E+01     1.000     3.779     1.000     1.000     1.000
    6      0.03     0.045     0.430      -0.0   0.713E+01     1.000     3.732     1.000     1.000     1.000
    7      0.04     0.045     0.430      -0.0   0.713E+01     1.000     3.685     1.000     1.000     1.000
    8      0.04     0.045     0.430      -0.0   0.713E+01     1.000     3.638     1.000     1.000     1.000
    9      0.05     0.045     0.430      -0.0   0.713E+01     1.000     3.590     1.000     1.000     1.000
   10      0.05     0.045     0.430      -0.0   0.713E+01     1.000     3.543     1.000     1.000     1.000
   11      0.06     0.045     0.430      -0.0   0.713E+01     1.000     3.496     1.000     1.000     1.000
   12      0.07     0.045     0.430      -0.0   0.713E+01     1.000     3.449     1.000     1.000     1.000
   13      0.07     0.045     0.430      -0.0   0.713E+01     1.000     3.401     1.000     1.000     1.000
   14      0.08     0.045     0.430      -0.0   0.713E+01     1.000     3.354     1.000     1.000     1.000
   15      0.08     0.045     0.430      -0.0   0.713E+01     1.000     3.307     1.000     1.000     1.000
   16      0.09     0.045     0.430      -0.0   0.713E+01     1.000     3.260     1.000     1.000     1.000
   17      0.10     0.045     0.430      -0.0   0.713E+01     1.000     3.212     1.000     1.000     1.000
   18      0.10     0.045     0.430      -0.0   0.713E+01     1.000     3.165     1.000     1.000     1.000
   19      0.11     0.045     0.430      -0.0   0.713E+01     1.000     3.118     1.000     1.000     1.000
   20      0.11     0.045     0.430      -0.0   0.713E+01     1.000     3.071     1.000     1.000     1.000
   21      0.12     0.045     0.430      -0.0   0.713E+01     1.000     3.023     1.000     1.000     1.000
   22      0.13     0.045     0.430      -0.0   0.713E+01     1.000     2.976     1.000     1.000     1.000
   23      0.13     0.045     0.430      -0.0   0.713E+01     1.000     2.929     1.000     1.000     1.000
   24      0.14     0.045     0.430      -0.0   0.713E+01     1.000     2.882     1.000     1.000     1.000
   25      0.14     0.045     0.430      -0.0   0.713E+01     1.000     2.834     1.000     1.000     1.000
   26      0.15     0.045     0.430      -0.0   0.713E+01     1.000     2.787     1.000     1.000     1.000
   27      0.16     0.045     0.430      -0.0   0.713E+01     1.000     2.740     1.000     1.000     1.000
   28      0.16     0.045     0.430      -0.0   0.713E+01     1.000     2.693     1.000     1.000     1.000
   29      0.17     0.045     0.430      -0.0   0.713E+01     1.000     2.646     1.000     1.000     1.000
   30      0.17     0.045     0.430      -0.0   0.713E+01     1.000     2.598     1.000     1.000     1.000
   31      0.18     0.045     0.430      -0.0   0.713E+01     1.000     2.551     1.000     1.000     1.000
   32      0.19     0.045     0.430      -0.0   0.713E+01     1.000     2.504     1.000     1.000     1.000
   33      0.19     0.045     0.430      -0.0   0.713E+01     1.000     2.457     1.000     1.000     1.000
   34      0.20     0.045     0.430      -0.0   0.713E+01     1.000     2.409     1.000     1.000     1.000
   35      0.20     0.045     0.430      -0.0   0.713E+01     1.000     2.362     1.000     1.000     1.000
   36      0.21     0.045     0.430      -0.0   0.713E+01     1.000     2.315     1.000     1.000     1.000
   37      0.22     0.045     0.430      -0.0   0.713E+01     1.000     2.268     1.000     1.000     1.000
   38      0.22     0.045     0.430      -0.0   0.713E+01     1.000     2.220     1.000     1.000     1.000
   39      0.23     0.045     0.430      -0.0   0.713E+01     1.000     2.173     1.000     1.000     1.000
   40      0.23     0.045     0.430      -0.0   0.713E+01     1.000     2.126     1.000     1.000     1.000
   41      0.24     0.045     0.430      -0.0   0.713E+01     1.000     2.079     1.000     1.000     1.000
   42      0.25     0.045     0.430      -0.0   0.713E+01     1.000     2.031     1.000     1.000     1.000
   43      0.25     0.045     0.430      -0.0   0.713E+01     1.000     1.984     1.000     1.000     1.000
   44      0.26     0.045     0.430      -0.0   0.713E+01     1.000     1.937     1.000     1.000     1.000
   45      0.26     0.045     0.430      -0.0   0.713E+01     1.000     1.890     1.000     1.000     1.000
   46      0.27     0.045     0.430      -0.0   0.713E+01     1.000     1.842     1.000     1.000     1.000
   47      0.28     0.045     0.430      -0.0   0.713E+01     1.000     1.795     1.000     1.000     1.000
   48      0.28     0.045     0.430      -0.0   0.713E+01     1.000     1.748     1.000     1.000     1.000
   49      0.29     0.045     0.430      -0.0   0.713E+01     1.000     1.701     1.000     1.000     1.000
   50      0.29     0.045     0.430      -0.0   0.713E+01     1.000     1.653     1.000     1.000     1.000
   51      0.30     0.045     0.430      -0.0   0.713E+01     1.000     1.606     1.000     1.000     1.000
   52      0.31     0.045     0.430      -0.0   0.713E+01     1.000     1.559     1.000     1.000     1.000
   53      0.31     0.045     0.430      -0.0   0.713E+01     1.000     1.512     1.000     1.000     1.000
   54      0.32     0.045     0.430      -0.0   0.713E+01     1.000     1.464     1.000     1.000     1.000
   55      0.32     0.045     0.430      -0.0   0.713E+01     1.000     1.417     1.000     1.000     1.000
   56      0.33     0.045     0.430      -0.0   0.713E+01     1.000     1.370     1.000     1.000     1.000
   57      0.34     0.045     0.430      -0.0   0.713E+01     1.000     1.323     1.000     1.000     1.000
   58      0.34     0.045     0.430      -0.0   0.713E+01     1.000     1.276     1.000     1.000     1.000
   59      0.35     0.045     0.430      -0.0   0.713E+01     1.000     1.228     1.000     1.000     1.000
   60      0.35     0.045     0.430      -0.0   0.713E+01     1.000     1.181     1.000     1.000     1.000
   61      0.36     0.045     0.430      -0.0   0.713E+01     1.000     1.134     1.000     1.000     1.000
   62      0.37     0.045     0.430      -0.0   0.713E+01     1.000     1.087     1.000     1.000     1.000
   63      0.37     0.045     0.430      -0.0   0.713E+01     1.000     1.039     1.000     1.000     1.000
   64      0.38     0.045     0.430      -0.0   0.713E+01     1.000     0.992     1.000     1.000     1.000
   65      0.38     0.045     0.430      -0.0   0.713E+01     1.000     0.945     1.000     1.000     1.000
   66      0.39     0.045     0.430      -0.0   0.713E+01     1.000     0.898     1.000     1.000     1.000
   67      0.40     0.045     0.430      -0.0   0.713E+01     1.000     0.850     1.000     1.000     1.000
   68      0.40     0.045     0.430      -0.0   0.713E+01     1.000     0.803     1.000     1.000     1.000
   69      0.41     0.045     0.430      -0.0   0.713E+01     1.000     0.756     1.000     1.000     1.000
   70      0.41     0.045     0.430      -0.0   0.713E+01     1.000     0.709     1.000     1.000     1.000
   71      0.42     0.045     0.430      -0.0   0.713E+01     1.000     0.661     1.000     1.000     1.000
   72      0.43     0.045     0.430      -0.0   0.713E+01     1.000     0.614     1.000     1.000     1.000
   73      0.43     0.045     0.430      -0.0   0.713E+01     1.000     0.567     1.000     1.000     1.000
   74      0.44     0.045     0.430      -0.0   0.713E+01     1.000     0.520     1.000     1.000     1.000
   75      0.44     0.045     0.430      -0.0   0.713E+01     1.000     0.472     1.000     1.000     1.000
   76      0.45     0.045     0.430      -0.0   0.713E+01     1.000     0.425     1.000     1.000     1.000
   77      0.46     0.045     0.430      -0.0   0.713E+01     1.000     0.378     1.000     1.000     1.000
   78      0.46     0.045     0.430      -0.0   0.713E+01     1.000     0.331     1.000     1.000     1.000
   79      0.47     0.045     0.430      -0.0   0.713E+01     1.000     0.283     1.000     1.000     1.000
   80      0.47     0.045     0.430      -0.0   0.713E+01     1.000     0.236     1.000     1.000     1.000
   81      0.48     0.045     0.430      -0.0   0.713E+01     1.000     0.189     1.000     1.000     1.000
   82      0.49     0.045     0.430      -0.0   0.713E+01     1.000     0.142     1.000     1.000     1.000
   83      0.49     0.045     0.430      -0.0   0.713E+01     1.000     0.094     1.000     1.000     1.000
   84      0.50     0.045     0.430      -0.0   0.713E+01     1.000     0.047     1.000     1.000     1.000
   85      0.50     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   86      0.51     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   87      0.52     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   88      0.52     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   89      0.53     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   90      0.53     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   91      0.54     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   92      0.55     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   93      0.55     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   94      0.56     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   95      0.56     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   96      0.57     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   97      0.58     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   98      0.58     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
   99      0.59     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  100      0.59     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  101      0.60     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  102      0.61     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  103      0.61     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  104      0.62     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  105      0.62     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  106      0.63     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  107      0.64     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  108      0.64     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  109      0.65     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  110      0.65     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  111      0.66     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  112      0.67     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  113      0.67     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  114      0.68     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  115      0.68     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  116      0.69     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  117      0.70     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  118      0.70     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  119      0.71     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  120      0.71     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  121      0.72     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  122      0.73     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  123      0.73     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  124      0.74     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  125      0.74     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  126      0.75     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  127      0.76     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  128      0.76     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  129      0.77     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  130      0.77     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  131      0.78     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  132      0.79     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  133      0.79     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  134      0.80     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  135      0.80     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  136      0.81     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  137      0.82     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  138      0.82     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  139      0.83     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  140      0.83     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  141      0.84     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  142      0.85     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  143      0.85     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  144      0.86     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  145      0.86     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  146      0.87     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  147      0.88     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  148      0.88     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  149      0.89     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
