 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:   9.10.    Time:  14: 8:15
 Units: L = m    , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000  0.11000E-04  0.30900E-03  0.11077E-04  0.30886E-03 -0.20015E-01  0.11000E-04  0.30900E-03  0.11004E-04  0.30899E-03 -0.12403E+00 -0.36252E+01 -0.10679E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.46160E+00  0.10000E-03  0.11100E-03    119  0.00000E+00      0.000
       2.0000 -0.12900E-03  0.19900E-03 -0.12900E-03  0.19900E-03 -0.94471E-02 -0.11800E-03  0.50800E-03 -0.11799E-03  0.50799E-03 -0.13737E+00 -0.51333E+00 -0.11059E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.44819E+00  0.30000E-03  0.18200E-03    148  0.00000E+00      0.000
       3.0000 -0.57100E-03  0.81000E-04 -0.57100E-03  0.81000E-04 -0.59989E-02 -0.68900E-03  0.58900E-03 -0.68899E-03  0.58899E-03 -0.14488E+00 -0.32640E+00 -0.10842E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.44117E+00  0.90000E-03  0.21100E-03    179  0.00000E+00      0.000
       4.0000 -0.14300E-03  0.16000E-03 -0.14300E-03  0.16000E-03 -0.44488E-02 -0.83200E-03  0.74900E-03 -0.83199E-03  0.74899E-03 -0.14991E+00 -0.38147E+00 -0.11211E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.43613E+00  0.11000E-02  0.26800E-03    203  0.00000E+00      0.000
       5.0000 -0.71000E-04  0.81000E-04 -0.71000E-04  0.81000E-04 -0.34824E-02 -0.90300E-03  0.83000E-03 -0.90299E-03  0.82999E-03 -0.15380E+00 -0.41067E+00 -0.11382E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.43222E+00  0.12000E-02  0.29700E-03    225  0.00000E+00      0.000
       6.0000 -0.17810E-02  0.54000E-04 -0.17810E-02  0.54000E-04 -0.27391E-02 -0.26840E-02  0.88400E-03 -0.26840E-02  0.88399E-03 -0.15687E+00 -0.23973E+00 -0.10896E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.43089E+00  0.30000E-02  0.31600E-03    261  0.00000E+00      0.000
       7.0000 -0.27600E-03  0.67000E-04 -0.27600E-03  0.67000E-04 -0.23568E-02 -0.29600E-02  0.95100E-03 -0.29600E-02  0.95099E-03 -0.15938E+00 -0.29834E+00 -0.10356E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.42858E+00  0.33000E-02  0.34000E-03    292  0.00000E+00      0.000
       8.0000  0.19000E-04  0.54000E-04  0.19000E-04  0.54000E-04 -0.20765E-02 -0.29410E-02  0.10050E-02 -0.29410E-02  0.10050E-02 -0.16159E+00 -0.35788E+00 -0.10092E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.42630E+00  0.33000E-02  0.35901E-03    304  0.00000E+00      0.000
