 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 5.2021    Time:  18:55: 9
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       47  0.1000000E+01  0.79603E-01    4      164    -4     1     T
       71  0.2000000E+01  0.10427E+00    2      222    -4     1     T
       93  0.3000000E+01  0.26067E+00    4      271    -4     1     T
      115  0.4000000E+01  0.19550E+00    2      315    -4     1     T
      137  0.5000000E+01  0.19550E+00    2      359    -4     1     T
      166  0.6000000E+01  0.11811E+00    4      446    -4     1     T
      188  0.7000000E+01  0.19550E+00    3      493    -4     1     T
      192  0.8000000E+01  0.25000E+00    2      505    -4     1     T
      229  0.9000000E+01  0.12852E+00    5      628    -4     1     T
      252  0.1000000E+02  0.14300E+00    3      685    -4     1     T
      274  0.1100000E+02  0.19550E+00    3      731    -4     1     T
      296  0.1200000E+02  0.19550E+00    3      779    -4     1     T
      300  0.1300000E+02  0.25000E+00    3      793    -4     1     T
      303  0.1400000E+02  0.33333E+00    3      802    -4     1     T
      325  0.1500000E+02  0.19550E+00    2      846    -4     1     T
      328  0.1600000E+02  0.37500E+00    2      853    -4     1     T
      355  0.1700000E+02  0.11293E+00    3      926    -4     1     T
      377  0.1800000E+02  0.19550E+00    2      971    -4     1     T
      399  0.1900000E+02  0.19550E+00    2     1015    -4     1     T
      421  0.2000000E+02  0.19550E+00    2     1059    -4     1     T
      443  0.2100000E+02  0.19550E+00    2     1103    -4     1     T
      465  0.2200000E+02  0.19550E+00    2     1147    -4     1     T
      468  0.2300000E+02  0.37500E+00    2     1153    -4     1     T
      490  0.2400000E+02  0.19550E+00    2     1197    -4     1     T
      493  0.2500000E+02  0.37500E+00    2     1203    -4     1     T
      515  0.2600000E+02  0.19550E+00    3     1249    -4     1     T
      550  0.2700000E+02  0.93944E-01    4     1361    -4     1     T
      561  0.2800000E+02  0.10337E+00    3     1405    -4     1     T
      568  0.2900000E+02  0.14286E+00    4     1435    -4     1     T
      590  0.3000000E+02  0.26067E+00    5     1486    -4     1     T
      595  0.3100000E+02  0.20000E+00    4     1508    -4     1     T
      617  0.3200000E+02  0.19550E+00    3     1554    -4     1     T
      640  0.3300000E+02  0.14300E+00    3     1608    -4     1     T
      662  0.3400000E+02  0.19550E+00    2     1652    -4     1     T
      665  0.3500000E+02  0.37500E+00    3     1660    -4     1     T
      667  0.3600000E+02  0.50000E+00    3     1667    -4     1     T
      689  0.3700000E+02  0.19550E+00    2     1711    -4     1     T
      711  0.3800000E+02  0.19550E+00    2     1755    -4     1     T
      733  0.3900000E+02  0.19550E+00    2     1799    -4     1     T
      736  0.4000000E+02  0.37500E+00    2     1806    -4     1     T
      738  0.4100000E+02  0.50000E+00    2     1810    -4     1     T
      776  0.4200000E+02  0.71571E-01    3     1933    -4     1     T
      800  0.4300000E+02  0.14799E+00    3     1991    -4     1     T
      822  0.4400000E+02  0.19550E+00    2     2035    -4     1     T
      825  0.4500000E+02  0.37500E+00    2     2043    -4     1     T
      847  0.4600000E+02  0.19550E+00    2     2087    -4     1     T
      869  0.4700000E+02  0.19550E+00    2     2131    -4     1     T
      873  0.4800000E+02  0.25000E+00    2     2146    -4     1     T
      895  0.4900000E+02  0.19550E+00    2     2190    -4     1     T
      923  0.5000000E+02  0.12100E+00    4     2271    -4     1     T
      946  0.5100000E+02  0.19523E+00    2     2320    -4     1     T
      949  0.5200000E+02  0.37500E+00    2     2328    -4     1     T
